micros,A0,A1,A2
161708,1023,1023,489
163552,1023,1023,490
165296,1023,1023,492
167048,1023,1023,492
168792,1023,1023,492
170536,1023,1023,492
172288,1023,1023,492
174032,1023,1023,492
175776,1023,1023,492
177528,1023,1023,492
179272,1023,1023,492
181016,1023,1023,492
182760,1023,1023,492
184504,1023,1023,492
186248,1023,1023,492
188000,1023,1023,492
189744,1023,1023,492
191492,1023,1023,491
193240,1023,1023,492
194984,1023,1023,492
196728,1023,1023,492
198472,1023,1023,492
200216,1023,1023,492
205440,1023,1023,489
207180,1023,1023,490
208916,1023,1023,491
210660,1023,1023,492
212396,1023,1023,492
214132,1023,1023,492
215876,1023,1023,492
217620,1023,1023,492
219364,1023,1023,491
221100,1023,1023,492
222844,1023,1023,492
224588,1023,1023,491
226332,1023,1023,491
228076,1023,1023,491
229820,1023,1023,491
231564,1023,1023,491
233308,1023,1023,491
235052,1023,1023,491
236796,1023,1023,491
238540,1023,1023,492
240284,1023,1023,492
242036,1023,1023,492
243780,1023,1023,491
249000,1023,1023,488
250740,1023,1023,489
252476,1023,1023,489
254220,1023,1023,491
255964,1023,1023,491
257708,1023,1023,491
259452,1023,1023,491
261188,1023,1023,491
262932,1023,1023,491
264676,1023,1023,491
266412,1023,1023,491
268148,1023,1023,491
269884,1023,1023,491
271628,1023,1023,491
273364,1023,1023,492
275108,1023,1023,491
276852,1023,1023,491
278596,1023,1023,491
280332,1023,1023,491
282084,1023,1023,491
283820,1023,1023,491
285556,1023,1023,491
287300,1023,1023,491
289044,1023,1023,491
294284,1023,1023,489
296020,1023,1023,489
297764,1023,1023,490
299500,1023,1023,491
301236,1023,1023,491
302980,1023,1023,491
304732,1023,1023,491
306476,1023,1023,491
308220,1023,1023,491
309964,1023,1023,491
311708,1023,1023,491
313452,1023,1023,491
315196,1023,1023,491
316940,1023,1023,491
318684,1023,1023,491
320428,1023,1023,491
322172,1023,1023,491
323908,1023,1023,491
325652,1023,1023,491
327396,1023,1023,491
329140,1023,1023,491
330892,1023,1023,491
332628,1023,1023,491
337828,1023,1023,489
339572,1023,1023,489
341316,1023,1023,490
343060,1023,1023,491
344796,1023,1023,491
346532,1023,1023,491
348276,1023,1023,491
350020,1023,1023,491
351756,1023,1023,491
353500,1023,1023,491
355244,1023,1023,491
356988,1023,1023,491
358732,1023,1023,491
360476,1023,1023,491
362212,1023,1023,491
363956,1023,1023,491
365708,1023,1023,491
367452,1023,1023,491
369196,1023,1023,490
370940,1023,1023,491
372684,1023,1023,491
374428,1023,1023,491
376180,1023,1023,491
381408,1023,1023,488
383148,1023,1023,489
384892,1023,1023,488
386644,1023,1023,491
388380,1023,1023,491
390116,1023,1023,491
391860,1023,1023,491
393604,1023,1023,490
395348,1023,1023,490
397092,1023,1023,491
398836,1023,1023,491
400580,1023,1023,491
402324,1023,1023,490
404068,1023,1023,490
405812,1023,1023,490
407564,1023,1023,491
409300,1023,1023,490
411044,1023,1023,491
412788,1023,1023,490
414524,1023,1023,490
416268,1023,1023,491
418012,1023,1023,491
419748,1023,1023,490
424984,1023,1023,487
426724,1023,1023,488
428460,1023,1023,488
430196,1023,1023,490
431940,1023,1023,490
433684,1023,1023,490
435428,1023,1023,490
437172,1023,1023,490
438916,1023,1023,490
440660,1023,1023,490
442404,1023,1023,490
444140,1023,1023,490
445884,1023,1023,490
447628,1023,1023,490
449372,1023,1023,491
451116,1023,1023,490
452860,1023,1023,490
454604,1023,1023,490
456348,1023,1023,490
458092,1023,1023,490
459836,1023,1023,490
461580,1023,1023,490
463332,1023,1023,490
465076,1023,1023,490
470320,1023,1023,488
472060,1023,1023,488
473804,1023,1023,489
475548,1023,1023,490
477292,1023,1023,490
479036,1023,1023,490
480784,1023,1023,490
482524,1023,1023,490
484268,1023,1023,490
486012,1023,1023,490
487756,1023,1023,490
489500,1023,1023,490
491244,1023,1023,490
492988,1023,1023,490
494732,1023,1023,490
496468,1023,1023,490
498212,1023,1023,490
499964,1023,1023,490
501708,1023,1023,490
503452,1023,1023,490
505204,1023,1023,490
506948,1023,1023,490
508692,1023,1023,490
513924,1023,1023,488
515676,1023,1023,488
517412,1023,1023,488
519156,1023,1023,490
520900,1023,1023,490
522644,1023,1023,490
524388,1023,1023,490
526124,1023,1023,490
527868,1023,1023,490
529604,1023,1023,490
531348,1023,1023,490
533084,1023,1023,490
534828,1023,1023,490
536564,1023,1023,490
538308,1023,1023,490
540044,1023,1023,490
541788,1023,1023,490
543532,1023,1023,490
545276,1023,1023,490
547020,1023,1023,490
548764,1023,1023,490
550508,1023,1023,490
552252,1023,1023,490
557492,1023,1023,487
559236,1023,1023,488
560980,1023,1023,488
562724,1023,1023,490
564460,1023,1023,490
566204,1023,1023,490
567948,1023,1023,490
569692,1023,1023,490
571436,1023,1023,490
573172,1023,1023,490
574916,1023,1023,490
576660,1023,1023,490
578404,1023,1023,490
580140,1023,1023,490
581884,1023,1023,490
583628,1023,1023,490
585372,1023,1023,490
587124,1023,1023,490
588868,1023,1023,490
590612,1023,1023,490
592356,1023,1023,490
594100,1023,1023,490
595844,1023,1023,490
608652,1023,1023,486
610396,1023,1023,488
612144,1023,1023,488
613884,1023,1023,490
615632,1023,1023,490
617372,1023,1023,490
619116,1023,1023,490
620860,1023,1023,490
622612,1023,1023,490
624348,1023,1023,490
626092,1023,1023,490
627844,1023,1023,490
629588,1023,1023,490
631332,1023,1023,490
633088,1023,1023,490
634828,1023,1023,490
636576,1023,1023,490
638324,1023,1023,490
640072,1023,1023,490
641812,1023,1023,490
643556,1023,1023,490
645292,1023,1023,490
647036,1023,1023,490
648772,1023,1023,489
663264,1023,1023,487
665004,1023,1023,486
666740,1023,1023,490
668476,1023,1023,490
670212,1023,1023,490
671948,1023,1023,490
673692,1023,1023,490
675436,1023,1023,490
677172,1023,1023,490
678924,1023,1023,490
680660,1023,1023,490
682396,1023,1023,490
684132,1023,1023,490
685876,1023,1023,489
687620,1023,1023,490
689364,1023,1023,490
691108,1023,1023,490
692848,1023,1023,490
694588,1023,1023,489
696332,1023,1023,490
698068,1023,1023,490
699804,1023,1023,490
701548,1023,1023,490
707068,1023,1023,487
708804,1023,1023,487
710548,1023,1023,489
712284,1023,1023,490
714028,1023,1023,490
715772,1023,1023,490
717516,1023,1023,490
719260,1023,1023,490
721004,1023,1023,490
722748,1023,1023,490
724484,1023,1023,490
726228,1023,1023,490
727964,1023,1023,490
729708,1023,1023,490
731452,1023,1023,490
733196,1023,1023,490
734932,1023,1023,490
736676,1023,1023,489
738420,1023,1023,490
740164,1023,1023,490
741900,1023,1023,489
743644,1023,1023,490
745388,1023,1023,490
750612,1023,1023,486
752348,1023,1023,488
754092,1023,1023,488
755844,1023,1023,489
757588,1023,1023,490
759336,1023,1023,490
761084,1023,1023,490
762828,1023,1023,490
764572,1023,1023,490
766324,1023,1023,490
768072,1023,1023,490
769812,1023,1023,490
771556,1023,1023,490
773300,1023,1023,490
775044,1023,1023,490
776796,1023,1023,490
778540,1023,1023,490
780284,1023,1023,490
782028,1023,1023,490
783772,1023,1023,490
785516,1023,1023,490
787260,1023,1023,490
789004,1023,1023,490
790748,1023,1023,490
795992,1023,1023,487
797736,1023,1023,488
799476,1023,1023,489
801220,1023,1023,490
802964,1023,1023,490
804708,1023,1023,489
806452,1023,1023,490
808196,1023,1023,490
809932,1023,1023,490
811676,1023,1023,490
813428,1023,1023,490
815172,1023,1023,490
816920,1023,1023,489
818660,1023,1023,489
820404,1023,1023,489
822148,1023,1023,490
823892,1023,1023,490
825628,1023,1023,489
827372,1023,1023,489
829108,1023,1023,490
830844,1023,1023,489
832588,1023,1023,489
834324,1023,1023,489
839536,1023,1023,487
841276,1023,1023,487
843020,1023,1023,488
844756,1023,1023,489
846492,1023,1023,490
848244,1023,1023,489
849980,1023,1023,489
851716,1023,1023,489
853452,1023,1023,490
855196,1023,1023,489
856940,1023,1023,489
858684,1023,1023,490
860428,1023,1023,490
862172,1023,1023,490
863908,1023,1023,489
865652,1023,1023,490
867396,1023,1023,489
869132,1023,1023,489
870884,1023,1023,489
872628,1023,1023,489
874364,1023,1023,489
876116,1023,1023,490
877860,1023,1023,490
883096,1023,1023,487
884836,1023,1023,488
886580,1023,1023,487
888316,1023,1023,489
890052,1023,1023,489
891796,1023,1023,490
893540,1023,1023,489
895284,1023,1023,489
897036,1023,1023,490
898772,1023,1023,490
900516,1023,1023,490
902260,1023,1023,489
904004,1023,1023,490
905748,1023,1023,489
907484,1023,1023,489
909228,1023,1023,489
910972,1023,1023,489
912716,1023,1023,489
914460,1023,1023,489
916204,1023,1023,489
917948,1023,1023,489
919692,1023,1023,489
921436,1023,1023,489
926676,1023,1023,486
928412,1023,1023,487
930164,1023,1023,488
931900,1023,1023,489
933644,1023,1023,490
935396,1023,1023,490
937140,1023,1023,489
938884,1023,1023,490
940636,1023,1023,489
942384,1023,1023,489
944124,1023,1023,489
945868,1023,1023,489
947612,1023,1023,490
949356,1023,1023,489
951100,1023,1023,490
952844,1023,1023,489
954588,1023,1023,490
956332,1023,1023,489
958076,1023,1023,489
959824,1023,1023,489
961568,1023,1023,489
963308,1023,1023,490
965052,1023,1023,489
966796,1023,1023,489
972044,1023,1023,487
973780,1023,1023,487
975524,1023,1023,488
977268,1023,1023,489
979012,1023,1023,489
980756,1023,1023,489
982500,1023,1023,489
984244,1023,1023,489
985988,1023,1023,489
987732,1023,1023,489
