micros,A0,A1,A2
162124,1023,1023,488
163960,1023,1023,488
165704,1023,1023,490
167448,1023,1023,491
169192,1023,1023,491
170936,1023,1023,491
172680,1023,1023,491
174424,1023,1023,491
176168,1023,1023,491
177912,1023,1023,491
179656,1023,1023,491
181400,1023,1023,491
183144,1023,1023,491
184888,1023,1023,491
186632,1023,1023,491
188376,1023,1023,491
190120,1023,1023,491
191864,1023,1023,491
193608,1023,1023,491
195352,1023,1023,491
197096,1023,1023,491
198840,1023,1023,491
200584,1023,1023,491
205804,1023,1023,488
207548,1023,1023,489
209284,1023,1023,489
211020,1023,1023,490
212756,1023,1023,491
214500,1023,1023,491
216244,1023,1023,490
217988,1023,1023,491
219740,1023,1023,490
221484,1023,1023,490
223228,1023,1023,490
224972,1023,1023,491
226716,1023,1023,491
228460,1023,1023,491
230204,1023,1023,491
231948,1023,1023,490
233692,1023,1023,490
235436,1023,1023,491
237180,1023,1023,490
238924,1023,1023,490
240668,1023,1023,490
242412,1023,1023,490
244148,1023,1023,490
249356,1023,1023,487
251092,1023,1023,488
252836,1023,1023,488
254580,1023,1023,490
256324,1023,1023,490
258068,1023,1023,490
259804,1023,1023,490
261540,1023,1023,490
263284,1023,1023,490
265020,1023,1023,491
266756,1023,1023,490
268492,1023,1023,490
270228,1023,1023,490
271964,1023,1023,490
273708,1023,1023,490
275452,1023,1023,490
277196,1023,1023,490
278940,1023,1023,490
280684,1023,1023,490
282428,1023,1023,490
284172,1023,1023,490
285908,1023,1023,490
287644,1023,1023,490
289388,1023,1023,490
294620,1023,1023,487
296356,1023,1023,488
298092,1023,1023,489
299836,1023,1023,490
301580,1023,1023,490
303324,1023,1023,490
305068,1023,1023,490
306812,1023,1023,490
308556,1023,1023,490
310300,1023,1023,490
312044,1023,1023,490
313788,1023,1023,490
315532,1023,1023,490
317276,1023,1023,490
319020,1023,1023,490
320764,1023,1023,490
322508,1023,1023,490
324244,1023,1023,490
325996,1023,1023,490
327732,1023,1023,490
329476,1023,1023,490
331212,1023,1023,490
332948,1023,1023,490
338152,1023,1023,487
339892,1023,1023,488
341628,1023,1023,488
343364,1023,1023,490
345104,1023,1023,490
346844,1023,1023,490
348588,1023,1023,490
350340,1023,1023,490
352076,1023,1023,490
353820,1023,1023,490
355556,1023,1023,489
357300,1023,1023,490
359044,1023,1023,489
360788,1023,1023,490
362524,1023,1023,489
364268,1023,1023,490
366004,1023,1023,490
367756,1023,1023,489
369500,1023,1023,489
371244,1023,1023,490
372988,1023,1023,490
374724,1023,1023,489
376468,1023,1023,490
381692,1023,1023,486
383436,1023,1023,487
385180,1023,1023,487
386924,1023,1023,489
388668,1023,1023,489
390412,1023,1023,489
392156,1023,1023,489
393892,1023,1023,489
395636,1023,1023,489
397380,1023,1023,489
399124,1023,1023,489
400868,1023,1023,489
402612,1023,1023,489
404348,1023,1023,489
406100,1023,1023,489
407844,1023,1023,489
409588,1023,1023,490
411336,1023,1023,489
413076,1023,1023,489
414812,1023,1023,489
416548,1023,1023,489
418284,1023,1023,489
420020,1023,1023,489
425236,1023,1023,486
426980,1023,1023,487
428724,1023,1023,487
430468,1023,1023,489
432212,1023,1023,489
433948,1023,1023,489
435684,1023,1023,489
437428,1023,1023,489
439164,1023,1023,489
440916,1023,1023,489
442660,1023,1023,489
444404,1023,1023,489
446148,1023,1023,489
447892,1023,1023,489
449636,1023,1023,489
451380,1023,1023,489
453116,1023,1023,489
454852,1023,1023,489
456596,1023,1023,489
458340,1023,1023,489
460084,1023,1023,489
461836,1023,1023,489
463572,1023,1023,489
465316,1023,1023,489
470544,1023,1023,487
472284,1023,1023,487
474028,1023,1023,488
475772,1023,1023,489
477516,1023,1023,489
479260,1023,1023,489
481004,1023,1023,489
482748,1023,1023,489
484492,1023,1023,489
486236,1023,1023,489
487980,1023,1023,489
489724,1023,1023,489
491468,1023,1023,489
493212,1023,1023,489
494964,1023,1023,489
496700,1023,1023,489
498444,1023,1023,489
500180,1023,1023,489
501924,1023,1023,489
503668,1023,1023,489
505412,1023,1023,489
507156,1023,1023,489
508900,1023,1023,489
514132,1023,1023,486
515876,1023,1023,487
517612,1023,1023,487
519348,1023,1023,489
521084,1023,1023,489
522836,1023,1023,489
524572,1023,1023,489
526308,1023,1023,489
528052,1023,1023,489
529796,1023,1023,489
531532,1023,1023,489
533276,1023,1023,489
535020,1023,1023,489
536764,1023,1023,489
538508,1023,1023,488
540252,1023,1023,489
541988,1023,1023,489
543724,1023,1023,489
545468,1023,1023,489
547212,1023,1023,489
548948,1023,1023,489
550684,1023,1023,489
552428,1023,1023,489
557648,1023,1023,486
559388,1023,1023,486
561132,1023,1023,486
562876,1023,1023,488
564620,1023,1023,489
566364,1023,1023,489
568100,1023,1023,488
569844,1023,1023,489
571588,1023,1023,489
573324,1023,1023,489
575068,1023,1023,489
576812,1023,1023,488
578556,1023,1023,488
580300,1023,1023,488
582044,1023,1023,488
583788,1023,1023,489
585532,1023,1023,489
587276,1023,1023,488
589020,1023,1023,488
590764,1023,1023,488
592500,1023,1023,489
594244,1023,1023,488
595988,1023,1023,488
601192,1023,1023,485
602932,1023,1023,487
604676,1023,1023,486
606420,1023,1023,488
608164,1023,1023,488
609908,1023,1023,489
611652,1023,1023,489
613396,1023,1023,489
615144,1023,1023,488
616884,1023,1023,488
618636,1023,1023,488
620372,1023,1023,489
622116,1023,1023,489
623868,1023,1023,487
625612,1023,1023,488
627356,1023,1023,488
629100,1023,1023,489
630844,1023,1023,488
632588,1023,1023,488
634340,1023,1023,488
636084,1023,1023,488
637828,1023,1023,488
639580,1023,1023,488
641328,1023,1023,488
646556,1023,1023,486
648292,1023,1023,486
650028,1023,1023,487
651764,1023,1023,488
653508,1023,1023,489
655252,1023,1023,488
656996,1023,1023,488
658740,1023,1023,488
660476,1023,1023,489
662220,1023,1023,489
663956,1023,1023,488
665700,1023,1023,488
667444,1023,1023,488
669180,1023,1023,489
670916,1023,1023,489
672652,1023,1023,488
674396,1023,1023,488
676132,1023,1023,488
677876,1023,1023,488
679612,1023,1023,488
681356,1023,1023,488
683100,1023,1023,488
684844,1023,1023,488
690048,1023,1023,485
691796,1023,1023,486
693540,1023,1023,486
695284,1023,1023,487
697028,1023,1023,487
698772,1023,1023,487
700508,1023,1023,488
702252,1023,1023,487
703996,1023,1023,487
705744,1023,1023,487
707484,1023,1023,487
709228,1023,1023,487
710972,1023,1023,487
712724,1023,1023,487
714460,1023,1023,486
716204,1023,1023,488
717956,1023,1023,487
719700,1023,1023,487
721444,1023,1023,487
723196,1023,1023,487
724932,1023,1023,487
726676,1023,1023,487
728428,1023,1023,487
733632,1023,1023,484
735372,1023,1023,485
737116,1023,1023,484
738860,1023,1023,487
740604,1023,1023,488
742348,1023,1023,488
744092,1023,1023,487
745844,1023,1023,487
747580,1023,1023,487
749316,1023,1023,487
751060,1023,1023,487
752804,1023,1023,487
754548,1023,1023,487
756284,1023,1023,487
758028,1023,1023,487
759772,1023,1023,487
761516,1023,1023,487
763264,1023,1023,487
765004,1023,1023,487
766748,1023,1023,486
768492,1023,1023,487
770236,1023,1023,486
771972,1023,1023,487
773724,1023,1023,487
778956,1023,1023,484
780692,1023,1023,485
782436,1023,1023,486
784180,1023,1023,487
785924,1023,1023,487
787660,1023,1023,487
789404,1023,1023,487
791148,1023,1023,487
792892,1023,1023,487
794644,1023,1023,487
796380,1023,1023,487
798124,1023,1023,487
799876,1023,1023,487
801624,1023,1023,486
803364,1023,1023,486
805100,1023,1023,487
806836,1023,1023,487
808580,1023,1023,487
810316,1023,1023,486
812060,1023,1023,486
813804,1023,1023,487
815548,1023,1023,488
817292,1023,1023,488
822512,1023,1023,484
824252,1023,1023,486
825988,1023,1023,486
