micros,A0,A1,A2
232424,519,527,0
234108,522,529,0
235700,522,529,0
237292,521,527,0
238884,524,531,0
240476,525,531,0
242068,524,531,0
243656,525,531,0
245244,525,531,0
246836,525,531,0
248428,524,531,0
250020,524,531,0
251604,524,531,0
253196,524,531,0
254788,524,530,0
256380,524,530,0
257964,524,531,0
259556,523,530,0
261140,524,530,0
262732,524,530,0
264316,523,530,0
265900,524,530,0
267492,523,530,0
269084,524,530,0
270676,524,531,0
272256,524,531,0
273852,524,531,0
275440,524,531,0
356172,522,530,0
357760,524,531,0
359340,523,530,0
360920,526,533,0
362504,526,534,0
364088,526,534,0
365672,527,534,0
367256,527,534,0
368848,527,534,0
370432,527,535,0
372016,527,535,0
373600,527,535,0
375184,527,534,0
376764,527,534,0
378344,527,534,0
379928,527,534,0
381512,527,534,0
383096,527,534,0
384684,527,534,0
386264,527,534,0
387848,527,534,0
389432,526,534,0
391016,526,534,0
392600,526,534,0
394180,526,534,0
395760,526,534,0
397344,526,534,0
398928,526,534,0
478516,523,532,0
480108,526,534,0
481688,526,534,0
483268,525,533,0
484848,528,536,0
486432,528,536,0
488016,528,536,0
489600,528,536,0
491184,528,536,0
492772,528,537,0
494352,529,537,0
495944,529,537,0
497524,529,537,0
499104,529,537,0
500684,529,537,0
502272,530,538,0
503856,529,537,0
505440,529,537,0
507024,530,537,0
508612,529,537,0
510196,530,538,0
511780,530,538,0
513364,529,538,0
514936,529,537,0
516520,529,537,0
518100,529,537,0
519680,529,537,0
521264,529,537,0
522848,529,537,0
602280,527,536,0
603864,529,537,0
605452,529,537,0
607032,528,538,0
608620,531,539,0
610196,531,539,0
611780,530,539,0
613356,530,539,0
614948,531,539,0
616528,530,539,0
618112,531,539,0
619696,531,539,0
621280,531,540,0
622864,531,540,0
624452,531,540,0
626036,531,540,0
627612,531,540,0
629192,531,540,0
630772,532,540,0
632356,532,541,0
633940,532,540,0
635524,532,540,0
637104,532,541,0
638692,532,541,0
640276,532,541,0
641856,532,541,0
643440,532,541,0
645020,532,540,0
723176,528,538,0
724764,532,541,0
726344,531,540,0
727924,533,543,0
729508,533,542,0
731084,534,542,0
732676,533,542,0
734260,533,543,0
735844,533,542,0
737428,533,542,0
739008,533,542,0
740596,533,542,0
742176,533,542,0
743764,533,542,0
745340,533,542,0
746924,533,542,0
748500,533,542,0
750084,533,542,0
751664,533,542,0
753252,533,542,0
754836,533,543,0
756420,534,543,0
758004,534,543,0
759584,534,543,0
761172,534,543,0
762748,534,543,0
764348,534,543,0
765932,534,543,0
767516,535,543,0
847756,532,542,0
849344,533,543,0
850924,534,543,0
852504,535,545,0
854088,536,545,0
855672,536,545,0
857260,536,545,0
858844,536,545,0
860424,536,546,0
862008,536,545,0
863592,536,545,0
865172,536,545,0
866752,536,545,0
868332,536,545,0
869912,535,545,0
871500,536,545,0
873084,536,545,0
874664,535,545,0
876248,536,545,0
877832,536,545,0
879420,536,545,0
881004,536,545,0
882580,536,545,0
884160,536,545,0
885740,536,545,0
887324,536,546,0
888904,536,545,0
890492,536,546,0
970484,533,544,0
972076,535,545,0
973660,536,545,0
975240,537,547,0
976820,538,548,0
978400,538,548,0
979984,538,548,0
981572,538,548,0
983156,538,548,0
984736,538,548,0
986328,538,548,0
987912,538,548,0
989500,538,548,0
991080,538,548,0
992668,538,548,0
994244,538,548,0
995824,538,548,0
997412,538,548,0
998996,538,548,0
1000580,538,548,0
1002200,538,548,0
1003824,538,548,0
1005448,538,548,0
1007080,538,548,0
1008704,538,548,0
1010328,538,548,0
1011960,538,548,0
1013584,538,548,0
1093740,535,546,0
1095360,537,548,0
1096984,537,548,0
1098608,538,549,0
1100232,540,550,0
1101856,540,550,0
1103480,540,550,0
1105104,540,550,0
1106728,540,550,0
1108352,540,550,0
1109972,540,550,0
1111592,540,550,0
1113228,540,550,0
1114852,540,551,0
1116472,540,550,0
1118096,540,551,0
1119720,540,551,0
1121348,541,551,0
1122968,540,550,0
1124600,540,551,0
1126224,540,551,0
1127852,540,550,0
1129468,540,550,0
1131096,540,550,0
1132720,540,550,0
1134344,540,551,0
1135968,540,550,0
1182344,537,548,0
1183968,539,549,0
1185596,539,549,0
1187216,540,551,0
1188836,541,552,0
1190456,541,552,0
1192080,541,552,0
1193704,541,552,0
1195328,541,552,0
1196952,542,552,0
1198576,542,552,0
1200200,542,552,0
1201824,542,552,0
1203456,542,552,0
1205080,542,552,0
1206704,542,552,0
1208336,542,552,0
1209960,542,553,0
1211584,542,553,0
1213208,542,552,0
1214832,542,552,0
1216452,542,553,0
1218072,542,552,0
1219696,542,552,0
1221320,542,552,0
1222944,542,552,0
1224568,542,552,0
1229936,538,549,0
1231560,540,550,0
1233184,540,550,0
1234808,542,553,0
1236432,542,552,0
1238056,542,553,0
1239680,543,553,0
1241304,542,553,0
1242928,542,553,0
1244552,542,553,0
1246172,543,553,0
1247792,543,553,0
1249420,543,553,0
1251040,542,553,0
1252664,543,553,0
1254288,543,553,0
1255916,543,553,0
1257536,543,553,0
1259160,542,553,0
1260796,542,553,0
1262420,542,553,0
1264040,543,553,0
1265660,542,553,0
1267288,542,553,0
1268912,543,553,0
1270536,542,553,0
1272160,542,553,0
1277256,539,550,0
1278876,541,551,0
1280500,541,551,0
1282120,543,553,0
1283744,543,554,0
1285376,543,554,0
1287000,543,554,0
1288624,543,554,0
1290256,543,554,0
1291880,543,554,0
1293504,543,554,0
1295128,543,554,0
1296752,543,554,0
1298372,543,554,0
1299992,543,554,0
1301616,543,554,0
1303240,543,554,0
1304864,543,554,0
1306488,543,554,0
1308112,543,554,0
1309736,543,554,0
1311360,543,554,0
1312984,543,554,0
1314608,543,554,0
1316232,543,554,0
1317852,543,554,0
1319472,543,554,0
1324556,540,552,0
1326176,541,552,0
1327800,542,553,0
1329424,543,555,0
1331048,544,555,0
1332672,544,555,0
1334296,543,555,0
1335920,544,555,0
1337544,544,555,0
1339168,544,555,0
1340792,544,555,0
1342412,544,555,0
1344032,544,555,0
1345656,544,555,0
1347280,544,555,0
1348904,544,555,0
1350528,544,555,0
1352160,544,555,0
1353784,544,555,0
1355408,544,555,0
1357032,544,555,0
1358656,544,555,0
1360280,544,555,0
1361896,544,555,0
1363520,544,555,0
1365144,544,555,0
1366768,544,555,0
1371840,541,552,0
1373464,542,554,0
1375088,542,554,0
1376712,544,555,0
1378336,544,556,0
1379960,544,556,0
1381584,544,556,0
1383212,544,556,0
1384832,545,556,0
1386452,545,556,0
1388072,544,556,0
1389704,545,555,0
1391328,545,556,0
1392956,545,556,0
1394576,544,556,0
1396200,544,555,0
1397824,544,556,0
1399448,544,556,0
1401080,544,556,0
1402704,544,556,0
1404328,544,556,0
1405948,544,556,0
1407576,545,556,0
1409204,545,556,0
1410824,545,556,0
1412448,545,556,0
1414068,545,556,0
1419132,542,553,0
1420768,543,554,0
1422392,543,555,0
1424020,545,556,0
1425640,545,557,0
1427264,545,556,0
1428888,545,557,0
1430508,545,557,0
1432128,545,557,0
1433752,545,557,0
1435376,545,556,0
1437000,545,556,0
1438620,545,557,0
1440240,545,556,0
1441864,545,556,0
1443488,545,556,0
1445120,545,556,0
1446744,545,556,0
1448368,545,556,0
1450000,545,557,0
1451624,545,557,0
1453248,545,557,0
1454872,545,557,0
1456496,546,557,0
1458116,546,557,0
1459736,545,557,0
1461360,546,557,0
1466460,543,554,0
1468080,544,556,0
1469704,544,555,0
1471328,546,557,0
1472956,546,557,0
1474584,546,557,0
1476208,546,558,0
1477832,546,557,0
1479456,546,557,0
1481080,546,557,0
1482700,546,557,0
1484320,546,557,0
1485944,546,557,0
1487568,546,557,0
1489192,546,557,0
1490816,546,557,0
1492448,546,557,0
1494072,546,557,0
1495696,546,557,0
1497320,546,558,0
1498944,546,558,0
1500568,546,558,0
1502188,546,558,0
1503812,547,558,0
1505436,546,558,0
1507056,546,558,0
1508680,546,558,0
1513772,544,555,0
1515392,545,556,0
1517028,545,556,0
1518648,546,558,0
1520272,547,558,0
1521896,547,559,0
1523520,547,558,0
1525144,547,558,0
1526764,547,558,0
1528384,547,558,0
1530008,547,558,0
1531632,547,558,0
1533260,547,558,0
1534876,547,558,0
1536500,547,558,0
1538120,546,558,0
1539744,547,558,0
1541376,547,558,0
1543000,547,558,0
1544624,547,558,0
1546256,547,559,0
1547880,547,558,0
1549504,547,559,0
1551128,547,559,0
1552756,547,559,0
1554372,547,559,0
1555996,547,559,0
1561088,544,556,0
1562712,545,557,0
1564336,545,557,0
1565960,547,559,0
1567584,547,559,0
1569208,547,559,0
1570840,547,559,0
1572464,548,558,0
1574088,547,559,0
1575712,547,559,0
1577336,547,559,0
1578956,547,559,0
1580576,547,559,0
1582204,547,559,0
1583824,547,559,0
1585452,548,559,0
1587076,548,559,0
1588708,548,559,0
1590328,548,559,0
1591956,548,559,0
1593580,548,560,0
1595204,548,560,0
1596824,548,560,0
1598444,548,560,0
1600064,548,560,0
1601688,548,560,0
1603312,548,560,0
1608404,545,557,0
1610024,546,558,0
1611648,546,558,0
1613280,548,560,0
1614904,548,560,0
1616528,548,560,0
1618152,548,560,0
1619776,548,560,0
1621400,548,560,0
1623020,548,560,0
1624640,548,560,0
1626264,548,560,0
1627888,548,560,0
1629512,548,560,0
1631132,548,560,0
1632756,548,560,0
1634376,549,560,0
1636000,549,560,0
1637632,549,560,0
1639256,548,560,0
1640880,549,560,0
1642512,549,560,0
1644136,549,560,0
1645760,549,561,0
1647384,549,560,0
1649008,549,561,0
1650624,549,560,0
1655716,546,558,0
1657336,547,559,0
1658960,547,559,0
1660584,549,560,0
1662208,549,560,0
1663832,549,561,0
1665456,549,560,0
1667088,549,560,0
1668712,549,561,0
1670336,549,560,0
1671960,549,561,0
1673584,549,561,0
1675204,549,561,0
1676824,549,561,0
1678448,549,561,0
1680072,549,561,0
1681696,549,561,0
1683320,549,561,0
1684944,549,561,0
1686568,550,561,0
1688192,549,561,0
1689816,549,561,0
