micros,A0,A1,A2
163576,465,474,0
165260,467,475,0
166844,466,474,0
168436,466,475,0
170020,467,475,0
171604,467,475,0
173188,466,474,0
174772,466,474,0
176364,465,473,0
177956,465,473,0
179548,465,473,0
181132,465,473,0
182724,466,474,0
184308,466,474,0
185908,467,475,0
187500,467,476,0
189092,468,476,0
190684,469,477,0
192276,469,478,0
193868,470,479,0
195448,471,479,0
197036,472,480,0
198632,472,480,0
200220,472,480,0
201812,472,480,0
203396,472,480,0
204988,472,480,0
206580,472,480,0
211644,466,475,0
213224,468,476,0
214808,467,475,0
216392,468,477,0
217972,468,476,0
219552,467,475,0
221132,467,475,0
222712,466,475,0
224296,466,475,0
225880,466,475,0
227464,466,475,0
229048,466,475,0
230632,467,476,0
232216,468,476,0
233800,468,477,0
235380,469,478,0
236960,470,478,0
238540,470,479,0
240120,471,479,0
241704,472,480,0
243288,472,480,0
244872,473,481,0
246456,473,481,0
248040,473,481,0
249624,473,481,0
251208,473,481,0
252784,473,481,0
254368,472,481,0
259408,465,474,0
260984,468,476,0
262568,467,476,0
264144,468,477,0
265728,468,477,0
267312,468,476,0
268896,467,476,0
270480,467,476,0
272064,467,476,0
273648,467,476,0
275232,468,477,0
276816,468,477,0
278392,468,478,0
279980,469,478,0
281556,470,479,0
283148,471,479,0
284728,471,480,0
286312,472,481,0
287896,472,481,0
289480,473,482,0
291064,473,482,0
292648,474,482,0
294232,474,483,0
295812,474,483,0
297400,474,482,0
298988,474,482,0
300568,473,482,0
302152,473,481,0
303736,472,481,0
308776,467,476,0
310368,468,477,0
311952,467,476,0
313540,469,477,0
315124,468,478,0
316704,469,477,0
318292,469,477,0
319876,469,478,0
321452,469,478,0
323040,469,478,0
324624,470,478,0
326208,470,479,0
327792,471,480,0
329376,471,480,0
330968,472,481,0
332552,473,482,0
334136,473,482,0
335720,474,482,0
337304,474,483,0
338884,475,483,0
340464,475,484,0
342048,475,483,0
343632,475,483,0
345216,475,483,0
346800,474,483,0
348384,474,483,0
349968,474,482,0
351560,473,482,0
356596,466,476,0
358184,468,477,0
359772,468,477,0
361348,469,478,0
362936,470,479,0
364524,470,479,0
366104,469,479,0
367688,470,479,0
369272,470,479,0
370856,471,480,0
372440,471,480,0
374024,472,481,0
375608,472,481,0
377192,473,482,0
378772,473,483,0
380352,474,483,0
381932,475,484,0
383512,475,484,0
385100,475,484,0
386680,476,485,0
388264,476,485,0
389848,476,484,0
391432,476,484,0
393016,475,484,0
394600,475,484,0
396180,474,483,0
397760,474,483,0
399340,474,482,0
400924,473,482,0
405988,468,478,0
407568,469,478,0
409152,469,478,0
410740,470,480,0
412320,471,480,0
413912,471,480,0
415496,471,480,0
417080,472,481,0
418664,472,481,0
420248,473,482,0
421824,474,482,0
423408,474,483,0
424992,474,484,0
426576,475,484,0
428160,476,485,0
429744,476,485,0
431328,477,485,0
432912,476,485,0
434504,477,486,0
436084,476,486,0
437664,476,485,0
439244,476,485,0
440824,476,485,0
442408,475,484,0
443992,475,484,0
445576,474,483,0
447160,474,483,0
448744,473,482,0
