micros,A0,A1,A2
165448,472,483,0
167132,476,486,0
168716,478,489,0
170300,481,491,0
171884,482,492,0
173468,483,494,0
175044,484,494,0
176636,485,495,0
178220,486,495,0
179804,486,496,0
181388,486,496,0
182972,486,496,0
184556,485,495,0
186140,485,495,0
187724,484,494,0
189300,484,493,0
190892,482,492,0
192484,482,492,0
194076,481,491,0
195660,480,490,0
197252,479,489,0
198836,478,488,0
200428,478,488,0
202020,478,488,0
203604,477,488,0
205196,478,488,0
206780,478,488,0
208372,478,489,0
213440,476,487,0
215016,479,489,0
216600,480,490,0
218184,483,493,0
219768,484,494,0
221352,485,495,0
222936,485,496,0
224520,486,496,0
226104,486,496,0
227688,486,496,0
229264,486,496,0
230848,486,496,0
232424,485,495,0
234008,485,495,0
235592,484,494,0
237176,484,494,0
238760,483,493,0
240344,482,492,0
241928,481,492,0
243512,480,491,0
245096,480,490,0
246676,479,490,0
248256,479,489,0
249836,479,489,0
251416,479,489,0
253000,479,490,0
254584,479,490,0
256168,480,491,0
261216,475,487,0
262800,480,491,0
264384,481,491,0
265968,484,494,0
267552,485,496,0
269136,486,496,0
270720,486,497,0
272296,487,497,0
273880,487,497,0
275464,487,497,0
277048,487,497,0
278632,486,497,0
280216,486,496,0
281808,485,496,0
283392,484,495,0
284976,484,494,0
286560,483,493,0
288144,482,493,0
289720,481,492,0
291304,481,491,0
292888,480,491,0
294472,480,490,0
296056,480,491,0
297640,480,490,0
299224,480,490,0
300808,480,491,0
302392,481,492,0
303976,481,492,0
305564,482,493,0
310604,480,492,0
312188,483,494,0
313768,484,495,0
315348,487,497,0
316928,488,498,0
318512,488,499,0
320096,488,499,0
321680,488,499,0
323264,488,498,0
324848,487,498,0
326432,487,497,0
328016,486,497,0
329592,485,496,0
331176,484,495,0
332756,483,494,0
334336,483,493,0
335920,482,492,0
337504,481,492,0
339088,481,492,0
340672,480,492,0
342256,481,491,0
343840,480,492,0
345424,481,492,0
347004,481,492,0
348584,482,493,0
350160,483,494,0
351744,484,495,0
353328,485,496,0
358368,481,493,0
359952,485,496,0
361536,486,496,0
363120,488,499,0
364704,489,500,0
366288,489,500,0
367872,489,499,0
369456,488,499,0
371040,488,498,0
372620,487,498,0
374208,486,497,0
375788,485,496,0
377368,485,495,0
378952,484,495,0
380536,483,494,0
382120,482,494,0
383704,482,493,0
385288,482,493,0
386872,482,493,0
388456,482,493,0
390036,482,493,0
391616,482,494,0
393196,483,494,0
394776,484,495,0
396360,484,496,0
397944,485,496,0
399528,486,497,0
401112,487,498,0
402696,487,499,0
407764,485,496,0
409352,486,497,0
410936,486,497,0
412520,489,500,0
414104,489,500,0
415680,488,499,0
417264,487,499,0
418848,487,498,0
420432,486,497,0
422016,486,497,0
423600,485,496,0
425184,485,496,0
426768,484,495,0
428360,484,495,0
429940,483,495,0
431520,483,494,0
433100,483,494,0
434680,483,495,0
436264,483,494,0
437848,484,495,0
439432,484,496,0
441016,485,496,0
442600,485,497,0
444184,486,497,0
445768,487,498,0
447348,487,499,0
448928,488,499,0
450504,489,500,0
455564,484,496,0
457152,487,498,0
458732,487,498,0
460312,488,500,0
461896,489,500,0
463480,489,499,0
465064,488,499,0
466648,487,499,0
468232,487,498,0
469816,486,497,0
471400,486,497,0
472980,485,496,0
474560,485,496,0
476140,484,496,0
477720,484,496,0
479304,484,496,0
480888,484,496,0
482472,484,496,0
484056,485,496,0
485640,485,496,0
487224,485,497,0
488808,486,498,0
490384,487,499,0
491968,487,499,0
493548,488,500,0
495128,489,500,0
496712,489,501,0
498296,490,501,0
499880,490,502,0
504944,487,498,0
506528,488,499,0
508120,487,499,0
509704,489,501,0
511288,489,500,0
512876,488,500,0
514456,488,499,0
516032,487,499,0
517616,487,498,0
519200,486,497,0
520784,485,497,0
522368,485,496,0
523952,485,496,0
525536,485,496,0
527120,485,497,0
528712,485,497,0
530292,485,497,0
531872,486,498,0
533452,487,498,0
535032,487,499,0
536616,488,500,0
538200,488,501,0
539784,489,501,0
541368,490,501,0
542952,491,502,0
544536,491,502,0
546120,491,503,0
547700,492,503,0
552740,485,498,0
554320,488,500,0
555900,488,499,0
557480,489,501,0
559060,489,500,0
560640,488,500,0
562224,488,499,0
563808,487,498,0
565392,486,498,0
566976,486,498,0
568560,486,497,0
570144,486,497,0
571728,486,498,0
573308,486,498,0
574888,486,498,0
576468,487,499,0
578048,487,499,0
579632,488,500,0
581216,489,501,0
582800,489,501,0
584384,490,502,0
585968,491,502,0
587552,491,503,0
589136,491,504,0
590716,492,503,0
592300,492,504,0
593876,492,504,0
595460,492,504,0
597040,492,503,0
602096,486,499,0
603680,487,499,0
605264,487,498,0
606848,489,501,0
608432,488,500,0
610016,488,500,0
611600,487,499,0
613184,487,499,0
614772,487,499,0
616348,487,499,0
617928,487,499,0
619508,487,500,0
621088,488,500,0
622672,488,500,0
624256,489,501,0
625840,489,501,0
627424,490,502,0
629008,490,502,0
630592,491,503,0
632176,491,503,0
633756,492,504,0
635340,492,504,0
636916,493,504,0
638496,493,505,0
640084,493,505,0
641664,492,504,0
643248,492,504,0
644832,492,504,0
649888,486,499,0
651480,487,500,0
653064,487,499,0
654648,489,501,0
656232,489,501,0
657816,489,501,0
659392,488,500,0
660976,488,500,0
662560,488,500,0
664144,488,501,0
665728,489,501,0
667312,489,501,0
668896,489,501,0
670480,490,502,0
672072,490,502,0
673648,491,503,0
675232,491,503,0
676812,491,504,0
678392,492,504,0
679976,493,505,0
681560,493,505,0
683144,493,505,0
684728,493,505,0
686312,493,505,0
687896,493,506,0
689480,493,505,0
691060,493,505,0
692640,493,505,0
697676,484,498,0
699248,488,500,0
700832,488,500,0
702412,489,501,0
703992,490,502,0
705580,489,501,0
707160,489,501,0
708744,489,501,0
710328,489,502,0
711912,490,502,0
713500,490,502,0
715084,490,502,0
716660,490,503,0
718244,491,503,0
719820,491,504,0
721400,492,505,0
722984,492,505,0
724568,493,505,0
726152,494,506,0
727736,494,506,0
729320,494,506,0
730904,494,506,0
732488,494,506,0
734068,495,507,0
735652,494,506,0
737228,494,506,0
738808,494,506,0
740392,493,505,0
741976,492,505,0
747016,486,499,0
748600,488,500,0
750184,488,500,0
751768,489,502,0
753352,490,503,0
754936,490,502,0
756524,490,503,0
758104,490,502,0
759684,491,503,0
761272,491,503,0
762860,492,504,0
764444,492,504,0
766028,492,505,0
767612,493,505,0
769196,494,506,0
770776,494,506,0
772360,495,507,0
773944,495,507,0
775528,495,507,0
777108,495,508,0
778688,495,507,0
780268,495,507,0
781848,495,507,0
783432,494,507,0
785016,494,506,0
786600,494,506,0
788184,493,505,0
789768,492,505,0
794816,485,499,0
796400,488,501,0
797984,488,501,0
799572,490,503,0
801156,491,504,0
802732,491,504,0
804312,492,504,0
805896,492,504,0
807480,492,505,0
809064,493,505,0
810648,493,506,0
812240,494,506,0
813824,494,507,0
815408,495,507,0
816992,495,508,0
818576,495,508,0
820156,495,508,0
821736,496,508,0
823320,496,508,0
824904,495,508,0
826488,495,508,0
828072,495,508,0
829656,495,507,0
831240,495,507,0
832824,494,507,0
834408,493,506,0
835992,493,506,0
837572,493,506,0
839152,492,505,0
844216,488,501,0
845804,490,502,0
847384,489,502,0
848968,492,505,0
850552,492,505,0
852136,493,506,0
853720,493,506,0
855304,494,507,0
856888,494,507,0
858472,494,507,0
860052,495,508,0
861632,495,508,0
863212,496,508,0
864792,496,509,0
866376,496,509,0
867960,496,509,0
869544,496,509,0
871128,496,509,0
872712,496,509,0
874296,496,509,0
875880,496,508,0
877460,495,508,0
879040,495,508,0
880620,495,507,0
882200,494,507,0
883784,493,507,0
885368,494,506,0
886952,493,506,0
892020,487,501,0
893600,491,503,0
895192,491,503,0
896780,493,506,0
898360,494,506,0
899944,494,507,0
901528,494,507,0
903108,495,508,0
904688,495,508,0
906272,495,508,0
907856,496,509,0
909440,496,509,0
911024,496,509,0
912612,497,510,0
914192,497,510,0
915784,497,510,0
917364,497,510,0
918948,497,510,0
920524,496,509,0
922104,497,509,0
923688,496,509,0
925272,495,509,0
926856,495,508,0
928440,495,508,0
930024,495,508,0
931608,494,507,0
933192,494,507,0
934772,494,507,0
936352,493,507,0
941420,490,504,0
942996,491,505,0
944576,492,505,0
946156,494,507,0
947736,495,508,0
949320,496,509,0
950904,496,509,0
952492,496,509,0
954072,497,510,0
955660,497,510,0
957244,497,511,0
958828,498,511,0
960404,497,511,0
961984,498,511,0
963564,498,511,0
965144,497,511,0
966728,497,510,0
968312,497,510,0
969896,497,510,0
971484,496,509,0
973068,496,509,0
974648,495,509,0
976232,495,508,0
977812,495,508,0
979392,495,508,0
980972,494,508,0
982552,494,508,0
984140,494,508,0
989180,490,504,0
990768,493,506,0
992352,493,507,0
993936,496,509,0
995520,496,510,0
997104,497,510,0
998692,497,511,0
1000272,497,511,0
1001896,498,511,0
1003516,498,511,0
1005144,498,512,0
1006768,498,511,0
1008392,498,511,0
1010016,498,511,0
1011636,498,511,0
1013256,498,511,0
1014880,497,510,0
1016504,497,510,0
1018128,496,510,0
1019752,496,510,0
1021376,496,509,0
1023000,496,509,0
1024624,496,509,0
1026248,496,509,0
1027872,496,509,0
1029496,496,509,0
1031112,496,509,0
1036200,490,505,0
1037824,494,507,0
1039448,494,507,0
1041072,496,510,0
1042696,498,511,0
1044320,499,512,0
1045944,498,511,0
1047576,497,511,0
1049200,498,511,0
1050824,500,513,0
1052448,500,513,0
1054072,499,512,0
1055692,498,511,0
1057312,499,512,0
1058936,502,514,0
1060560,502,515,0
1062184,500,513,0
1063808,498,512,0
1065440,499,513,0
1067064,501,514,0
1068688,501,513,0
1070312,498,511,0
1071936,496,509,0
1073560,497,510,0
1075180,498,511,0
1076800,497,510,0
1078424,494,507,0
1083508,489,504,0
1085136,493,506,0
1086760,490,503,0
1088384,490,504,0
1090016,496,509,0
1091640,500,513,0
1093264,500,513,0
1094888,496,510,0
1096512,497,510,0
1098136,504,517,0
1099756,508,521,0
1101376,506,519,0
1103000,503,517,0
1104624,503,518,0
1106248,508,521,0
1107864,511,523,0
1109488,508,520,0
1111112,503,516,0
1112736,500,514,0
1114368,501,516,0
1115992,504,517,0
1117620,500,513,0
1119248,493,506,0
1120872,489,505,0
1122496,492,507,0
1124120,495,508,0
1125744,493,505,0
1130824,484,500,0
1132440,493,506,0
1134064,492,506,0
1135688,491,506,0
1137312,493,508,0
1138944,500,515,0
1140568,507,520,0
1142192,506,520,0
1143824,504,518,0
1145448,506,520,0
1147072,511,525,0
1148696,515,528,0
1150320,513,526,0
1151940,508,521,0
1153564,506,520,0
1155184,508,522,0
1156808,509,521,0
1158432,504,517,0
1160056,497,510,0
1161680,492,507,0
1163304,494,509,0
1164928,494,508,0
1166552,490,503,0
1168176,485,499,0
1169800,484,499,0
1171416,487,502,0
1173040,490,504,0
1178120,484,501,0
1179744,493,508,0
1181368,498,513,0
1182992,501,515,0
1184616,501,515,0
1186240,505,519,0
1187864,512,526,0
1189488,515,528,0
1191112,513,526,0
1192736,509,524,0
1194360,512,525,0
1195980,515,528,0
1197600,514,526,0
1199224,507,520,0
1200848,501,515,0
1202472,500,514,0
1204096,501,515,0
1205728,499,511,0
1207352,491,504,0
1208976,485,500,0
1210600,485,501,0
1212224,490,504,0
1213848,489,503,0
1215468,484,498,0
1217088,481,496,0
1218712,486,501,0
1220336,493,507,0
1225444,490,506,0
1227064,500,515,0
1228688,509,523,0
1230316,514,527,0
1231936,512,526,0
1233560,513,527,0
1235192,519,533,0
1236816,525,537,0
1238440,523,536,0
1240060,517,530,0
1241688,513,527,0
1243312,514,528,0
1244936,514,528,0
1246560,509,522,0
1248180,500,513,0
1249800,493,508,0
1251424,492,508,0
1253048,492,507,0
1254672,488,502,0
1256296,480,495,0
1257920,476,492,0
1259544,478,495,0
1261168,481,498,0
1262792,482,497,0
1264416,479,495,0
1266040,480,497,0
1267660,486,503,0
1272756,494,511,0
1274384,502,517,0
1276008,509,524,0
1277632,516,531,0
1279256,519,534,0
1280884,521,537,0
1282504,522,536,0
1284128,521,534,0
1285752,523,537,0
1287376,523,537,0
1289000,517,531,0
1290624,513,528,0
1292240,510,525,0
1293864,503,515,0
1295496,499,513,0
1297120,502,515,0
1298744,495,508,0
1300368,486,502,0
1301992,484,500,0
1303616,485,498,0
1305240,488,501,0
1306872,490,502,0
1308496,486,500,0
1310120,481,498,0
1311740,485,503,0
1313368,495,509,0
1314992,498,511,0
1320076,493,510,0
1321704,505,521,0
1323328,507,521,0
1324952,506,520,0
1326576,507,519,0
1328200,509,524,0
1329824,514,530,0
1331456,518,533,0
1333080,516,529,0
1334704,511,524,0
1336336,513,526,0
1337960,520,533,0
1339584,522,535,0
1341208,516,531,0
1342832,510,526,0
1344452,512,526,0
1346072,518,530,0
1347696,520,531,0
1349320,512,526,0
1350944,504,520,0
1352568,503,519,0
1354192,508,522,0
1355816,509,520,0
1357440,502,513,0
1359064,492,507,0
1360688,490,507,0
1362312,494,510,0
1367396,477,491,0
1369012,479,494,0
1370632,483,499,0
1372256,488,503,0
1373880,486,500,0
1375504,484,497,0
1377128,487,500,0
1378752,495,509,0
1380376,502,516,0
1382000,503,518,0
1383624,504,518,0
1385248,510,523,0
1386872,521,533,0
1388492,528,540,0
1390112,529,542,0
1391736,527,542,0
1393360,528,543,0
1394984,532,545,0
1396608,533,546,0
1398240,530,543,0
1399864,521,536,0
1401488,514,529,0
1403112,509,521,0
1404736,501,510,0
1406360,496,506,0
1407980,488,504,0
1409600,477,495,0
1414700,461,477,0
1416328,470,482,0
1417952,473,487,0
1419576,470,489,0
1421200,469,491,0
1422824,482,501,0
1424448,502,514,0
