micros,A0,A1,A2
163948,474,480,0
165628,471,473,0
167212,463,465,0
168796,453,458,0
170380,445,453,0
171964,439,449,0
173556,438,447,0
175148,436,442,0
176740,435,440,0
178332,435,440,0
179916,437,445,0
181508,441,451,0
183092,447,458,0
184684,453,461,0
186268,460,465,0
187860,469,473,0
189436,478,483,0
191036,485,492,0
192628,491,499,0
194220,496,503,0
195804,502,506,0
197396,507,509,0
198988,509,512,0
200576,506,511,0
202172,501,508,0
203760,497,503,0
205348,493,497,0
206948,488,490,0
212024,457,466,0
213608,454,461,0
215192,450,455,0
216776,448,452,0
218360,444,449,0
219944,442,449,0
221528,442,451,0
223108,444,454,0
224696,446,455,0
226280,450,455,0
227864,455,460,0
229448,461,466,0
231032,467,474,0
232616,472,480,0
234200,478,485,0
235784,485,491,0
237368,489,493,0
238952,501,501,0
240532,501,506,0
242112,494,503,0
243692,498,503,0
245272,504,507,0
246856,495,499,0
248440,492,494,0
250024,482,488,0
251608,483,489,0
253192,472,481,0
254776,470,475,0
259820,446,455,0
261400,454,460,0
262984,442,454,0
264568,453,459,0
266144,448,456,0
267728,457,459,0
269308,452,460,0
270896,461,466,0
272480,459,470,0
274064,469,475,0
275648,469,478,0
277232,479,482,0
278816,481,487,0
280400,488,492,0
281984,488,496,0
283560,490,497,0
285144,491,498,0
286728,493,497,0
288312,493,496,0
289896,489,493,0
291480,486,492,0
293072,481,489,0
294656,480,485,0
296240,474,480,0
297824,474,476,0
299408,467,473,0
300988,467,472,0
302568,462,470,0
304152,463,469,0
309196,456,463,0
310776,462,466,0
312360,459,469,0
313944,466,473,0
315528,467,475,0
317112,473,477,0
318700,474,480,0
320284,478,483,0
321864,478,485,0
323444,481,487,0
325024,481,488,0
326604,483,488,0
328184,483,488,0
329768,483,487,0
331352,480,487,0
332936,479,486,0
334520,478,485,0
336104,477,482,0
337688,476,480,0
339272,474,479,0
340852,473,479,0
342432,471,479,0
344012,471,478,0
345592,470,477,0
347180,471,476,0
348760,471,476,0
350344,472,477,0
351928,471,478,0
356972,470,477,0
358560,474,479,0
360144,476,480,0
361728,475,482,0
363312,477,483,0
364896,476,483,0
366472,477,483,0
368064,476,481,0
369644,476,480,0
371224,473,479,0
372808,473,479,0
374392,471,479,0
375980,472,479,0
377564,471,477,0
379148,472,477,0
380728,473,478,0
382316,473,479,0
383892,473,481,0
385484,474,481,0
387060,475,482,0
388640,477,482,0
390224,479,484,0
391808,480,486,0
393392,481,488,0
394976,481,488,0
396560,482,489,0
398144,483,488,0
399728,483,488,0
401308,482,487,0
406356,473,480,0
407948,473,478,0
409524,471,475,0
411116,470,476,0
412696,468,475,0
414280,467,474,0
415864,465,473,0
417448,465,472,0
419032,466,472,0
420616,466,472,0
422200,467,474,0
423784,468,476,0
425368,470,478,0
426948,473,480,0
428528,476,482,0
430112,479,484,0
431696,481,487,0
433280,484,490,0
434864,485,493,0
436448,488,494,0
438032,489,495,0
439624,490,495,0
441204,490,495,0
442784,488,494,0
444364,486,493,0
445944,484,491,0
447528,481,488,0
449112,479,484,0
454168,464,472,0
455752,464,471,0
457336,462,469,0
458920,463,469,0
460504,463,469,0
462088,462,469,0
463672,462,470,0
465256,464,472,0
466836,465,473,0
468416,468,475,0
469996,471,478,0
471580,475,481,0
473160,478,485,0
474744,481,489,0
476328,484,492,0
477912,488,494,0
479496,491,497,0
481080,493,498,0
482664,494,499,0
