micros,A0,A1,A2
160916,572,602,0
162604,574,603,0
164196,572,602,0
165780,576,605,0
167372,576,605,0
168948,576,605,0
170540,576,605,0
172132,576,605,0
173724,576,605,0
175324,576,605,0
176916,576,605,0
178508,576,605,0
180096,576,605,0
181692,576,605,0
183280,576,605,0
184868,576,606,0
186468,576,606,0
188060,576,606,0
189660,576,606,0
191252,576,606,0
192844,576,606,0
194428,576,606,0
196028,577,606,0
197612,576,606,0
199204,577,606,0
200804,577,606,0
202396,577,606,0
203996,576,606,0
209096,573,603,0
210680,575,604,0
212264,575,604,0
213848,576,606,0
215432,577,606,0
217012,577,606,0
218592,576,606,0
220176,576,606,0
221760,577,606,0
223344,576,606,0
224928,576,606,0
226520,577,606,0
228104,576,606,0
229688,577,606,0
231272,577,606,0
232856,577,606,0
234436,577,606,0
236016,577,607,0
237600,577,607,0
239184,577,607,0
240772,577,607,0
242352,577,607,0
243936,578,607,0
245520,577,607,0
247112,577,607,0
248692,577,607,0
250272,577,607,0
251852,577,607,0
256900,572,603,0
258496,575,605,0
260076,575,605,0
261656,576,606,0
263240,577,607,0
264824,577,607,0
266408,577,607,0
267992,577,607,0
269576,577,607,0
271160,577,607,0
272744,577,607,0
274324,577,607,0
275904,577,607,0
277484,577,607,0
279064,577,607,0
280648,578,607,0
282232,578,607,0
283816,578,607,0
285400,578,608,0
286984,578,607,0
288568,578,608,0
290152,578,607,0
291732,578,608,0
293312,578,608,0
294892,578,608,0
296472,578,608,0
298056,578,608,0
299640,578,608,0
301224,578,608,0
306288,575,605,0
307872,576,605,0
309464,576,606,0
311048,577,607,0
312632,578,608,0
314216,578,608,0
315804,578,608,0
317380,578,608,0
318972,578,607,0
320556,578,608,0
322136,578,608,0
323720,578,608,0
325304,578,608,0
326888,578,608,0
328472,579,608,0
330056,578,608,0
331636,578,608,0
333216,578,608,0
334796,579,608,0
336376,579,608,0
337960,579,608,0
339544,579,608,0
341128,578,608,0
342712,578,609,0
344296,579,608,0
345880,579,608,0
347464,579,608,0
349044,578,608,0
354096,574,605,0
355680,577,607,0
357260,576,607,0
358848,578,608,0
360428,578,608,0
362008,578,608,0
363592,579,609,0
365176,578,608,0
366760,578,608,0
368344,579,609,0
369928,579,609,0
371512,579,608,0
373096,579,609,0
374676,579,609,0
376256,579,609,0
377836,579,609,0
379416,579,609,0
381000,579,609,0
382584,579,609,0
384172,579,609,0
385752,579,609,0
387336,579,609,0
388920,579,609,0
390504,579,609,0
392084,579,609,0
393664,579,609,0
395244,579,609,0
396824,579,609,0
398408,579,609,0
403484,576,607,0
405064,577,607,0
406648,577,607,0
408232,579,609,0
409816,579,609,0
411400,579,609,0
